idpark,naziv,povrsina,utemeljen,sluzbenastranica,email,nazivlokacija,nazivdrzava,tel,nazivvrsta,nazivprodajnogmjesta,nazivznamenitosti,opisznamenitosti
1,Brijuni,33.9,1983-10-27,https://www.np-brijuni.hr/hr,izleti@np-brijuni.hr,Istarska županija,Hrvatska,00385 (0)52 525 882,Nacionalni Park Prirode,"Izletnička poslovnica NP Brijuni u Fažani, Brionska 10",Vidikovac na Ciprovcu,"Najočuvaniji od tri Kupelwieserova vidikovca koji se zbog svoje konstrukcije izlagao na brojnim izložbama. Izrađeni su oko 1900. godine u željezari u Vitkovicama, u kojoj je do dolaska na Brijune radio Paul Kupelwieser. Nekoć dominantnu turističku atrakciju nadrasla je šuma. Drugi očuvani vidikovac nalazi se na brdu Saluga, iznad glavnog brijunskog kupališta."
1,Brijuni,33.9,1983-10-27,https://www.np-brijuni.hr/hr,izleti@np-brijuni.hr,Istarska županija,Hrvatska,00385 (0)52 525 883,Nacionalni Park Prirode,"Izletnička poslovnica NP Brijuni u Fažani, Brionska 10",Vidikovac na Ciprovcu,"Najočuvaniji od tri Kupelwieserova vidikovca koji se zbog svoje konstrukcije izlagao na brojnim izložbama. Izrađeni su oko 1900. godine u željezari u Vitkovicama, u kojoj je do dolaska na Brijune radio Paul Kupelwieser. Nekoć dominantnu turističku atrakciju nadrasla je šuma. Drugi očuvani vidikovac nalazi se na brdu Saluga, iznad glavnog brijunskog kupališta."
1,Brijuni,33.9,1983-10-27,https://www.np-brijuni.hr/hr,izleti@np-brijuni.hr,Istarska županija,Hrvatska,00385 (0)52 525 882,Nacionalni Park Prirode,"Izletnička poslovnica NP Brijuni u Fažani, Brionska 10",Rimska vila u uvali Verige,"Na zapadnoj obali Brijuna, u uvali Verige, smještena je raskošna rimska vila. Najveći sjaj vila je dosegla u 1. stoljeću poslije Krista, a pojedini dijelovi vile koristili su se do 6. stoljeća. Sastojala se od više građevina različitih namjena smještenih na pomno odabranim lokacijama u raznim dijelovima uvale."
1,Brijuni,33.9,1983-10-27,https://www.np-brijuni.hr/hr,izleti@np-brijuni.hr,Istarska županija,Hrvatska,00385 (0)52 525 883,Nacionalni Park Prirode,"Izletnička poslovnica NP Brijuni u Fažani, Brionska 10",Rimska vila u uvali Verige,"Na zapadnoj obali Brijuna, u uvali Verige, smještena je raskošna rimska vila. Najveći sjaj vila je dosegla u 1. stoljeću poslije Krista, a pojedini dijelovi vile koristili su se do 6. stoljeća. Sastojala se od više građevina različitih namjena smještenih na pomno odabranim lokacijama u raznim dijelovima uvale."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Recepcija Aba, Butina 2, Murter",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Recepcija Aba, Butina 2, Murter",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Šibenik d.o.o., Obala Jerka Šižgorića 1, Šibenik",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Šibenik d.o.o., Obala Jerka Šižgorića 1, Šibenik",Utvrda Tureta,Vrijeme Bizanta ostavilo je po mnogima najmarkantniju građevinu koju danas nalazimo na Kornatima - utvrdu Tureta na otoku Kornatu koja je izgrađena najvjerojatnije u 6. stoljeću (kasna antika/rani srednji vijek). Pretpostavlja se da je njezina vojna posada kontrolirala plovidbu kornatskim arhipelagom i čuvala krška polja Tarac i Željkovci od iznenadnih napada s mora.
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Marina Šibenik d.o.o., Obala Jerka Šižgorića 1, Šibenik",Vidikovci,"Vidikovac Metlina na otoku Kornatu najviši je i najimpresivniji vrh Nacionalnog parka Kornati (237 m), ali je do njega najteže doći."
2,Kornati,220,1980-08-13,http://www.np-kornati.hr,turizam@np-kornati.hr,Jadransko more,Hrvatska,00385 (0)22 435 740,Nacionalni Park Prirode,"Danuvius marina d.o.o., Jurjevgradska 2, Tribunj",Krune,"Čuvene kornatske „krune“ (strmci ili litice) okrenute prema otvorenom moru, koje karakteriziraju većinu vanjskih otoka u pučinskom otočnom nizu, posebna su odlika i vrijednost ovog prostora. „Krune“ su posljedica pucanja i rasjedanja Zemljine kore uslijed podvlačenja Afričke tektonske ploče pod Euroazijsku."
